RESPAGE,LIFESAT,INFOSOU1,TRUMTVINFO,FATEINLF,BUSINRUS,BUSINTUR,BUSINGA,NEIGHBOR,USSRDISS,EUSUPP,EEUSUPNA,EEUNSUW,EEUSUPW,MAINFRN,MAINENEM,MAINMOD,PARTYSUPP,PARTYSUPF,WORKTYP,PERSINC,EDUYRS,RFAEDUC,RMOEDUC,RELGNEW,RELIMP,ECONSTN,MONYTOT
34.0,7.0,4.0,305.0,10.0,1.0,0.0,0.0,8.0,1.0,5.0,1.0,2.0,-7.0,1.0,5.0,1.0,301.0,-7.0,-7.0,9.0,15.0,7.0,6.0,3.0,4.0,2.0,4.0
31.0,10.0,8.0,-5.0,1.0,1.0,1.0,0.0,6.0,-1.0,5.0,3.0,-7.0,-7.0,-5.0,-2.0,3.0,-5.0,-5.0,4.0,5.0,11.0,7.0,7.0,3.0,4.0,3.0,5.0
29.0,5.0,8.0,306.0,5.0,1.0,1.0,0.0,6.0,1.0,3.0,2.0,2.0,-7.0,2.0,5.0,9.0,301.0,-7.0,-7.0,7.0,16.0,4.0,7.0,3.0,4.0,2.0,6.0
22.0,7.0,5.0,305.0,10.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,3.0,-7.0,2.0,5.0,6.0,310.0,-7.0,3.0,6.0,16.0,4.0,4.0,6.0,4.0,3.0,4.0
33.0,5.0,4.0,301.0,5.0,1.0,1.0,0.0,6.0,2.0,3.0,2.0,2.0,-7.0,2.0,6.0,-2.0,-5.0,-5.0,-7.0,-2.0,10.0,4.0,4.0,3.0,3.0,2.0,-2.0
31.0,6.0,8.0,306.0,2.0,1.0,1.0,0.0,5.0,-1.0,-1.0,-1.0,-7.0,-7.0,2.0,5.0,4.0,-5.0,-5.0,-7.0,9.0,11.0,4.0,4.0,6.0,3.0,3.0,7.0
24.0,9.0,-2.0,-5.0,10.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-7.0,-7.0,-5.0,5.0,-1.0,-5.0,-5.0,-7.0,9.0,12.0,4.0,4.0,3.0,4.0,2.0,-2.0
31.0,5.0,5.0,301.0,5.0,1.0,0.0,0.0,8.0,1.0,5.0,2.0,5.0,-7.0,1.0,5.0,10.0,-2.0,-2.0,4.0,6.0,16.0,5.0,7.0,3.0,3.0,4.0,4.0
35.0,5.0,4.0,-5.0,7.0,1.0,1.0,0.0,6.0,1.0,5.0,1.0,2.0,-7.0,1.0,5.0,1.0,301.0,-7.0,5.0,6.0,14.0,5.0,5.0,3.0,4.0,3.0,5.0
32.0,3.0,8.0,-1.0,1.0,-1.0,1.0,0.0,5.0,2.0,-1.0,-1.0,-7.0,-7.0,3.0,5.0,3.0,306.0,-7.0,-7.0,-1.0,12.0,4.0,4.0,6.0,3.0,3.0,8.0
